hour,DE,LT,PL,PL pomorskie,PL zachodniopomorskie,SE
2012-01-01 00:00:00,0.602,0.078,0.222,0.222,0.186,0.157
2012-01-01 01:00:00,0.742,0.094,0.159,0.159,0.228,0.169
2012-01-01 02:00:00,0.868,0.094,0.149,0.149,0.308,0.18
2012-01-01 03:00:00,0.897,0.092,0.169,0.169,0.446,0.21
2012-01-01 04:00:00,0.907,0.076,0.247,0.247,0.562,0.252
2012-01-01 05:00:00,0.916,0.109,0.308,0.308,0.624,0.304
2012-01-01 06:00:00,0.917,0.185,0.397,0.397,0.682,0.378
2012-01-01 07:00:00,0.916,0.289,0.512,0.512,0.752,0.482
2012-01-01 08:00:00,0.92,0.4,0.672,0.672,0.821,0.612
2012-01-01 09:00:00,0.934,0.473,0.776,0.776,0.9,0.728
2012-01-01 10:00:00,0.938,0.555,0.85,0.85,0.911,0.805
2012-01-01 11:00:00,0.93,0.712,0.855,0.855,0.963,0.855
2012-01-01 12:00:00,0.933,0.836,0.887,0.887,0.989,0.877
2012-01-01 13:00:00,0.932,0.896,0.859,0.859,0.981,0.87
2012-01-01 14:00:00,0.926,0.923,0.891,0.891,0.967,0.858
2012-01-01 15:00:00,0.921,0.937,0.913,0.913,0.952,0.858
2012-01-01 16:00:00,0.906,0.943,0.925,0.925,0.937,0.845
2012-01-01 17:00:00,0.915,0.948,0.89,0.89,0.969,0.814
2012-01-01 18:00:00,0.923,0.949,0.951,0.951,0.919,0.76
2012-01-01 19:00:00,0.888,0.947,0.951,0.951,0.732,0.768
2012-01-01 20:00:00,0.842,0.942,0.914,0.914,0.795,0.78
2012-01-01 21:00:00,0.814,0.899,0.842,0.842,0.834,0.683
2012-01-01 22:00:00,0.768,0.78,0.674,0.674,0.9,0.633
2012-01-01 23:00:00,0.634,0.608,0.569,0.569,0.875,0.625
2012-01-02 00:00:00,0.665,0.478,0.583,0.583,0.965,0.568
2012-01-02 01:00:00,0.809,0.389,0.799,0.799,0.996,0.552
2012-01-02 02:00:00,0.872,0.286,0.883,0.883,1.0,0.683
2012-01-02 03:00:00,0.805,0.259,0.954,0.954,1.0,0.798
2012-01-02 04:00:00,0.812,0.438,0.998,0.998,0.999,0.836
2012-01-02 05:00:00,0.793,0.728,1.0,1.0,0.999,0.832
2012-01-02 06:00:00,0.81,0.82,1.0,1.0,1.0,0.839
2012-01-02 07:00:00,0.814,0.947,1.0,1.0,0.996,0.859
