name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL LT electricity import AC EHV 2030,PL,LT,electricity import AC,,EHV,,,2030,2030,TRUE,1000,
PL LT electricity import AC EHV 2035,PL,LT,electricity import AC,,EHV,,,2035,2035,TRUE,1700,
PL LT electricity import AC EHV 2040,PL,LT,electricity import AC,,EHV,,,2040,2040,TRUE,1700,
PL LT electricity import AC EHV 2045,PL,LT,electricity import AC,,EHV,,,2045,2045,TRUE,1700,
PL LT electricity import AC EHV 2050,PL,LT,electricity import AC,,EHV,,,2050,2050,TRUE,1700,
PL LT electricity import DC EHV 2020,PL,LT,electricity import DC,,EHV,,,2020,2020,TRUE,500,
PL LT electricity import DC EHV 2021,PL,LT,electricity import DC,,EHV,,,2021,2021,TRUE,500,
PL LT electricity import DC EHV 2022,PL,LT,electricity import DC,,EHV,,,2022,2022,TRUE,500,
PL LT electricity import DC EHV 2023,PL,LT,electricity import DC,,EHV,,,2023,2023,TRUE,500,
PL SE electricity import DC EHV 2020,PL,SE,electricity import DC,,EHV,,,2020,2020,TRUE,600,
PL SE electricity import DC EHV 2021,PL,SE,electricity import DC,,EHV,,,2021,2021,TRUE,600,
PL SE electricity import DC EHV 2022,PL,SE,electricity import DC,,EHV,,,2022,2022,TRUE,600,
PL SE electricity import DC EHV 2023,PL,SE,electricity import DC,,EHV,,,2023,2023,TRUE,600,
PL SE electricity import DC EHV 2025,PL,SE,electricity import DC,,EHV,,,2025,2025,TRUE,600,
PL SE electricity import DC EHV 2030,PL,SE,electricity import DC,,EHV,,,2030,2030,TRUE,600,
PL SE electricity import DC EHV 2035,PL,SE,electricity import DC,,EHV,,,2035,2035,TRUE,600,
PL SE electricity import DC EHV 2040,PL,SE,electricity import DC,,EHV,,,2040,2040,TRUE,600,
PL SE electricity import DC EHV 2045,PL,SE,electricity import DC,,EHV,,,2045,2045,TRUE,600,
PL SE electricity import DC EHV 2050,PL,SE,electricity import DC,,EHV,,,2050,2050,TRUE,600,
PL SK electricity import AC EHV 2020,PL,SK,electricity import AC,,EHV,,,2020,2020,TRUE,890,
PL SK electricity import AC EHV 2021,PL,SK,electricity import AC,,EHV,,,2021,2021,TRUE,890,
PL SK electricity import AC EHV 2022,PL,SK,electricity import AC,,EHV,,,2022,2022,TRUE,890,
PL SK electricity import AC EHV 2023,PL,SK,electricity import AC,,EHV,,,2023,2023,TRUE,890,
PL SK electricity import AC EHV 2025,PL,SK,electricity import AC,,EHV,,,2025,2025,TRUE,890,
PL SK electricity import AC EHV 2030,PL,SK,electricity import AC,,EHV,,,2030,2030,TRUE,890,
PL SK electricity import AC EHV 2035,PL,SK,electricity import AC,,EHV,,,2035,2035,TRUE,890,
PL SK electricity import AC EHV 2040,PL,SK,electricity import AC,,EHV,,,2040,2040,TRUE,890,
PL SK electricity import AC EHV 2045,PL,SK,electricity import AC,,EHV,,,2045,2045,TRUE,890,
PL SK electricity import AC EHV 2050,PL,SK,electricity import AC,,EHV,,,2050,2050,TRUE,890,
SE PL electricity export DC EHV 2020,SE,PL,electricity export DC,,,EHV,,2020,2020,TRUE,600,
SE PL electricity export DC EHV 2021,SE,PL,electricity export DC,,,EHV,,2021,2021,TRUE,600,
SE PL electricity export DC EHV 2022,SE,PL,electricity export DC,,,EHV,,2022,2022,TRUE,600,
SE PL electricity export DC EHV 2023,SE,PL,electricity export DC,,,EHV,,2023,2023,TRUE,600,
SE PL electricity export DC EHV 2025,SE,PL,electricity export DC,,,EHV,,2025,2025,TRUE,600,
SE PL electricity export DC EHV 2030,SE,PL,electricity export DC,,,EHV,,2030,2030,TRUE,600,
SE PL electricity export DC EHV 2035,SE,PL,electricity export DC,,,EHV,,2035,2035,TRUE,600,
SE PL electricity export DC EHV 2040,SE,PL,electricity export DC,,,EHV,,2040,2040,TRUE,600,
SE PL electricity export DC EHV 2045,SE,PL,electricity export DC,,,EHV,,2045,2045,TRUE,600,
SE PL electricity export DC EHV 2050,SE,PL,electricity export DC,,,EHV,,2050,2050,TRUE,600,
SK PL electricity export AC EHV 2020,SK,PL,electricity export AC,,,EHV,,2020,2020,TRUE,1740,
SK PL electricity export AC EHV 2021,SK,PL,electricity export AC,,,EHV,,2021,2021,TRUE,1740,
SK PL electricity export AC EHV 2022,SK,PL,electricity export AC,,,EHV,,2022,2022,TRUE,1740,
SK PL electricity export AC EHV 2023,SK,PL,electricity export AC,,,EHV,,2023,2023,TRUE,1740,
SK PL electricity export AC EHV 2025,SK,PL,electricity export AC,,,EHV,,2025,2025,TRUE,1740,
SK PL electricity export AC EHV 2030,SK,PL,electricity export AC,,,EHV,,2030,2030,TRUE,1740,
SK PL electricity export AC EHV 2035,SK,PL,electricity export AC,,,EHV,,2035,2035,TRUE,1740,
SK PL electricity export AC EHV 2040,SK,PL,electricity export AC,,,EHV,,2040,2040,TRUE,1740,
SK PL electricity export AC EHV 2045,SK,PL,electricity export AC,,,EHV,,2045,2045,TRUE,1740,
SK PL electricity export AC EHV 2050,SK,PL,electricity export AC,,,EHV,,2050,2050,TRUE,1740,
