name,area,carrier,type,parameter,year,value
PL lubelskie space heating final use flow 2030,PL lubelskie,space heating final use,inflow,flow,2030,7.57
PL lubelskie space heating final use flow 2035,PL lubelskie,space heating final use,inflow,flow,2035,6.97
PL lubelskie space heating final use flow 2040,PL lubelskie,space heating final use,inflow,flow,2040,6.47
PL lubelskie space heating final use flow 2045,PL lubelskie,space heating final use,inflow,flow,2045,6.09
PL lubelskie space heating final use flow 2050,PL lubelskie,space heating final use,inflow,flow,2050,5.81
PL lubelskie water heating final use flow 2020,PL lubelskie,water heating final use,inflow,flow,2020,2.69
PL lubelskie water heating final use flow 2025,PL lubelskie,water heating final use,inflow,flow,2025,2.69
PL lubelskie water heating final use flow 2030,PL lubelskie,water heating final use,inflow,flow,2030,2.69
PL lubelskie water heating final use flow 2035,PL lubelskie,water heating final use,inflow,flow,2035,2.69
PL lubelskie water heating final use flow 2040,PL lubelskie,water heating final use,inflow,flow,2040,2.69
PL lubelskie water heating final use flow 2045,PL lubelskie,water heating final use,inflow,flow,2045,2.69
PL lubelskie water heating final use flow 2050,PL lubelskie,water heating final use,inflow,flow,2050,2.69
PL lubuskie electricity HMV final use flow 2020,PL lubuskie,electricity HMV final use,inflow,flow,2020,2.12
PL lubuskie electricity HMV final use flow 2025,PL lubuskie,electricity HMV final use,inflow,flow,2025,1.92
PL lubuskie electricity HMV final use flow 2030,PL lubuskie,electricity HMV final use,inflow,flow,2030,2.19
PL lubuskie electricity HMV final use flow 2035,PL lubuskie,electricity HMV final use,inflow,flow,2035,2.56
PL lubuskie electricity HMV final use flow 2040,PL lubuskie,electricity HMV final use,inflow,flow,2040,3.01
PL lubuskie electricity HMV final use flow 2045,PL lubuskie,electricity HMV final use,inflow,flow,2045,3.46
PL lubuskie electricity HMV final use flow 2050,PL lubuskie,electricity HMV final use,inflow,flow,2050,3.83
PL lubuskie electricity LV final use flow 2020,PL lubuskie,electricity LV final use,inflow,flow,2020,1.49
PL lubuskie electricity LV final use flow 2025,PL lubuskie,electricity LV final use,inflow,flow,2025,1.56
PL lubuskie electricity LV final use flow 2030,PL lubuskie,electricity LV final use,inflow,flow,2030,1.65
PL lubuskie electricity LV final use flow 2035,PL lubuskie,electricity LV final use,inflow,flow,2035,1.78
PL lubuskie electricity LV final use flow 2040,PL lubuskie,electricity LV final use,inflow,flow,2040,1.88
PL lubuskie electricity LV final use flow 2045,PL lubuskie,electricity LV final use,inflow,flow,2045,1.95
PL lubuskie electricity LV final use flow 2050,PL lubuskie,electricity LV final use,inflow,flow,2050,1.96
PL lubuskie light vehicle mobility final use flow 2020,PL lubuskie,light vehicle mobility final use,inflow,flow,2020,1.18
PL lubuskie light vehicle mobility final use flow 2025,PL lubuskie,light vehicle mobility final use,inflow,flow,2025,1.32
PL lubuskie light vehicle mobility final use flow 2030,PL lubuskie,light vehicle mobility final use,inflow,flow,2030,1.44
PL lubuskie light vehicle mobility final use flow 2035,PL lubuskie,light vehicle mobility final use,inflow,flow,2035,1.46
PL lubuskie light vehicle mobility final use flow 2040,PL lubuskie,light vehicle mobility final use,inflow,flow,2040,1.41
PL lubuskie light vehicle mobility final use flow 2045,PL lubuskie,light vehicle mobility final use,inflow,flow,2045,1.34
PL lubuskie light vehicle mobility final use flow 2050,PL lubuskie,light vehicle mobility final use,inflow,flow,2050,1.23
PL lubuskie space heating final use flow 2020,PL lubuskie,space heating final use,inflow,flow,2020,3.84
PL lubuskie space heating final use flow 2025,PL lubuskie,space heating final use,inflow,flow,2025,3.48
PL lubuskie space heating final use flow 2030,PL lubuskie,space heating final use,inflow,flow,2030,3.17
PL lubuskie space heating final use flow 2035,PL lubuskie,space heating final use,inflow,flow,2035,2.91
PL lubuskie space heating final use flow 2040,PL lubuskie,space heating final use,inflow,flow,2040,2.71
PL lubuskie space heating final use flow 2045,PL lubuskie,space heating final use,inflow,flow,2045,2.55
PL lubuskie space heating final use flow 2050,PL lubuskie,space heating final use,inflow,flow,2050,2.43
PL lubuskie water heating final use flow 2020,PL lubuskie,water heating final use,inflow,flow,2020,1.29
PL lubuskie water heating final use flow 2025,PL lubuskie,water heating final use,inflow,flow,2025,1.29
PL lubuskie water heating final use flow 2030,PL lubuskie,water heating final use,inflow,flow,2030,1.29
PL lubuskie water heating final use flow 2035,PL lubuskie,water heating final use,inflow,flow,2035,1.29
PL lubuskie water heating final use flow 2040,PL lubuskie,water heating final use,inflow,flow,2040,1.29
PL lubuskie water heating final use flow 2045,PL lubuskie,water heating final use,inflow,flow,2045,1.29
PL lubuskie water heating final use flow 2050,PL lubuskie,water heating final use,inflow,flow,2050,1.29
PL mazowieckie electricity HMV final use flow 2020,PL mazowieckie,electricity HMV final use,inflow,flow,2020,10.65
PL mazowieckie electricity HMV final use flow 2025,PL mazowieckie,electricity HMV final use,inflow,flow,2025,9.63
PL mazowieckie electricity HMV final use flow 2030,PL mazowieckie,electricity HMV final use,inflow,flow,2030,11.0
PL mazowieckie electricity HMV final use flow 2035,PL mazowieckie,electricity HMV final use,inflow,flow,2035,12.88
PL mazowieckie electricity HMV final use flow 2040,PL mazowieckie,electricity HMV final use,inflow,flow,2040,15.14
PL mazowieckie electricity HMV final use flow 2045,PL mazowieckie,electricity HMV final use,inflow,flow,2045,17.39
PL mazowieckie electricity HMV final use flow 2050,PL mazowieckie,electricity HMV final use,inflow,flow,2050,19.28
PL mazowieckie electricity LV final use flow 2020,PL mazowieckie,electricity LV final use,inflow,flow,2020,9.29
PL mazowieckie electricity LV final use flow 2025,PL mazowieckie,electricity LV final use,inflow,flow,2025,9.7
PL mazowieckie electricity LV final use flow 2030,PL mazowieckie,electricity LV final use,inflow,flow,2030,10.31
PL mazowieckie electricity LV final use flow 2035,PL mazowieckie,electricity LV final use,inflow,flow,2035,11.1
PL mazowieckie electricity LV final use flow 2040,PL mazowieckie,electricity LV final use,inflow,flow,2040,11.73
PL mazowieckie electricity LV final use flow 2045,PL mazowieckie,electricity LV final use,inflow,flow,2045,12.17
PL mazowieckie electricity LV final use flow 2050,PL mazowieckie,electricity LV final use,inflow,flow,2050,12.22
PL mazowieckie light vehicle mobility final use flow 2020,PL mazowieckie,light vehicle mobility final use,inflow,flow,2020,6.76
PL mazowieckie light vehicle mobility final use flow 2025,PL mazowieckie,light vehicle mobility final use,inflow,flow,2025,7.72
PL mazowieckie light vehicle mobility final use flow 2030,PL mazowieckie,light vehicle mobility final use,inflow,flow,2030,8.41
PL mazowieckie light vehicle mobility final use flow 2035,PL mazowieckie,light vehicle mobility final use,inflow,flow,2035,8.54
PL mazowieckie light vehicle mobility final use flow 2040,PL mazowieckie,light vehicle mobility final use,inflow,flow,2040,8.24
PL mazowieckie light vehicle mobility final use flow 2045,PL mazowieckie,light vehicle mobility final use,inflow,flow,2045,7.8
PL mazowieckie light vehicle mobility final use flow 2050,PL mazowieckie,light vehicle mobility final use,inflow,flow,2050,7.2
PL mazowieckie space heating final use flow 2020,PL mazowieckie,space heating final use,inflow,flow,2020,23.03
PL mazowieckie space heating final use flow 2025,PL mazowieckie,space heating final use,inflow,flow,2025,20.82
PL mazowieckie space heating final use flow 2030,PL mazowieckie,space heating final use,inflow,flow,2030,18.97
PL mazowieckie space heating final use flow 2035,PL mazowieckie,space heating final use,inflow,flow,2035,17.44
PL mazowieckie space heating final use flow 2040,PL mazowieckie,space heating final use,inflow,flow,2040,16.21
PL mazowieckie space heating final use flow 2045,PL mazowieckie,space heating final use,inflow,flow,2045,15.25
PL mazowieckie space heating final use flow 2050,PL mazowieckie,space heating final use,inflow,flow,2050,14.56
PL mazowieckie water heating final use flow 2020,PL mazowieckie,water heating final use,inflow,flow,2020,6.96
PL mazowieckie water heating final use flow 2025,PL mazowieckie,water heating final use,inflow,flow,2025,6.96
PL mazowieckie water heating final use flow 2030,PL mazowieckie,water heating final use,inflow,flow,2030,6.96
PL mazowieckie water heating final use flow 2035,PL mazowieckie,water heating final use,inflow,flow,2035,6.96
PL mazowieckie water heating final use flow 2040,PL mazowieckie,water heating final use,inflow,flow,2040,6.96
PL mazowieckie water heating final use flow 2045,PL mazowieckie,water heating final use,inflow,flow,2045,6.96
PL mazowieckie water heating final use flow 2050,PL mazowieckie,water heating final use,inflow,flow,2050,6.96
PL małopolskie electricity HMV final use flow 2020,PL małopolskie,electricity HMV final use,inflow,flow,2020,6.63
PL małopolskie electricity HMV final use flow 2025,PL małopolskie,electricity HMV final use,inflow,flow,2025,6.0
PL małopolskie electricity HMV final use flow 2030,PL małopolskie,electricity HMV final use,inflow,flow,2030,6.85
PL małopolskie electricity HMV final use flow 2035,PL małopolskie,electricity HMV final use,inflow,flow,2035,8.02
PL małopolskie electricity HMV final use flow 2040,PL małopolskie,electricity HMV final use,inflow,flow,2040,9.43
PL małopolskie electricity HMV final use flow 2045,PL małopolskie,electricity HMV final use,inflow,flow,2045,10.84
PL małopolskie electricity HMV final use flow 2050,PL małopolskie,electricity HMV final use,inflow,flow,2050,12.01
PL małopolskie electricity LV final use flow 2020,PL małopolskie,electricity LV final use,inflow,flow,2020,4.9
PL małopolskie electricity LV final use flow 2025,PL małopolskie,electricity LV final use,inflow,flow,2025,5.12
PL małopolskie electricity LV final use flow 2030,PL małopolskie,electricity LV final use,inflow,flow,2030,5.44
PL małopolskie electricity LV final use flow 2035,PL małopolskie,electricity LV final use,inflow,flow,2035,5.85
PL małopolskie electricity LV final use flow 2040,PL małopolskie,electricity LV final use,inflow,flow,2040,6.19
PL małopolskie electricity LV final use flow 2045,PL małopolskie,electricity LV final use,inflow,flow,2045,6.42
PL małopolskie electricity LV final use flow 2050,PL małopolskie,electricity LV final use,inflow,flow,2050,6.44
PL małopolskie light vehicle mobility final use flow 2020,PL małopolskie,light vehicle mobility final use,inflow,flow,2020,3.53
PL małopolskie light vehicle mobility final use flow 2025,PL małopolskie,light vehicle mobility final use,inflow,flow,2025,4.01
PL małopolskie light vehicle mobility final use flow 2030,PL małopolskie,light vehicle mobility final use,inflow,flow,2030,4.37
PL małopolskie light vehicle mobility final use flow 2035,PL małopolskie,light vehicle mobility final use,inflow,flow,2035,4.44
PL małopolskie light vehicle mobility final use flow 2040,PL małopolskie,light vehicle mobility final use,inflow,flow,2040,4.28
PL małopolskie light vehicle mobility final use flow 2045,PL małopolskie,light vehicle mobility final use,inflow,flow,2045,4.05
PL małopolskie light vehicle mobility final use flow 2050,PL małopolskie,light vehicle mobility final use,inflow,flow,2050,3.74
PL małopolskie space heating final use flow 2020,PL małopolskie,space heating final use,inflow,flow,2020,14.74
PL małopolskie space heating final use flow 2025,PL małopolskie,space heating final use,inflow,flow,2025,13.33
PL małopolskie space heating final use flow 2030,PL małopolskie,space heating final use,inflow,flow,2030,12.14
PL małopolskie space heating final use flow 2035,PL małopolskie,space heating final use,inflow,flow,2035,11.16
PL małopolskie space heating final use flow 2040,PL małopolskie,space heating final use,inflow,flow,2040,10.38
PL małopolskie space heating final use flow 2045,PL małopolskie,space heating final use,inflow,flow,2045,9.76
PL małopolskie space heating final use flow 2050,PL małopolskie,space heating final use,inflow,flow,2050,9.32
PL małopolskie water heating final use flow 2020,PL małopolskie,water heating final use,inflow,flow,2020,4.34
PL małopolskie water heating final use flow 2025,PL małopolskie,water heating final use,inflow,flow,2025,4.34
PL małopolskie water heating final use flow 2030,PL małopolskie,water heating final use,inflow,flow,2030,4.34
PL małopolskie water heating final use flow 2035,PL małopolskie,water heating final use,inflow,flow,2035,4.34
PL małopolskie water heating final use flow 2040,PL małopolskie,water heating final use,inflow,flow,2040,4.34
PL małopolskie water heating final use flow 2045,PL małopolskie,water heating final use,inflow,flow,2045,4.34
PL małopolskie water heating final use flow 2050,PL małopolskie,water heating final use,inflow,flow,2050,4.34
PL opolskie electricity HMV final use flow 2020,PL opolskie,electricity HMV final use,inflow,flow,2020,3.19
PL opolskie electricity HMV final use flow 2025,PL opolskie,electricity HMV final use,inflow,flow,2025,2.89
PL opolskie electricity HMV final use flow 2030,PL opolskie,electricity HMV final use,inflow,flow,2030,3.3
PL opolskie electricity HMV final use flow 2035,PL opolskie,electricity HMV final use,inflow,flow,2035,3.86
PL opolskie electricity HMV final use flow 2040,PL opolskie,electricity HMV final use,inflow,flow,2040,4.54
PL opolskie electricity HMV final use flow 2045,PL opolskie,electricity HMV final use,inflow,flow,2045,5.22
PL opolskie electricity HMV final use flow 2050,PL opolskie,electricity HMV final use,inflow,flow,2050,5.78
PL opolskie electricity LV final use flow 2020,PL opolskie,electricity LV final use,inflow,flow,2020,1.4
PL opolskie electricity LV final use flow 2025,PL opolskie,electricity LV final use,inflow,flow,2025,1.46
PL opolskie electricity LV final use flow 2030,PL opolskie,electricity LV final use,inflow,flow,2030,1.56
PL opolskie electricity LV final use flow 2035,PL opolskie,electricity LV final use,inflow,flow,2035,1.67
PL opolskie electricity LV final use flow 2040,PL opolskie,electricity LV final use,inflow,flow,2040,1.77
PL opolskie electricity LV final use flow 2045,PL opolskie,electricity LV final use,inflow,flow,2045,1.84
PL opolskie electricity LV final use flow 2050,PL opolskie,electricity LV final use,inflow,flow,2050,1.84
PL opolskie light vehicle mobility final use flow 2020,PL opolskie,light vehicle mobility final use,inflow,flow,2020,1.07
