name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie DE electricity import AC EHV 2020,PL dolnośląskie,DE,electricity import AC,,EHV,,,2020,2020,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2021,PL dolnośląskie,DE,electricity import AC,,EHV,,,2021,2021,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2022,PL dolnośląskie,DE,electricity import AC,,EHV,,,2022,2022,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2023,PL dolnośląskie,DE,electricity import AC,,EHV,,,2023,2023,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2025,PL dolnośląskie,DE,electricity import AC,,EHV,,,2025,2025,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2030,PL dolnośląskie,DE,electricity import AC,,EHV,,,2030,2030,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2035,PL dolnośląskie,DE,electricity import AC,,EHV,,,2035,2035,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2040,PL dolnośląskie,DE,electricity import AC,,EHV,,,2040,2040,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2045,PL dolnośląskie,DE,electricity import AC,,EHV,,,2045,2045,TRUE,1590,
PL dolnośląskie DE electricity import AC EHV 2050,PL dolnośląskie,DE,electricity import AC,,EHV,,,2050,2050,TRUE,1590,
PL podkarpackie SK electricity import AC EHV 2020,PL podkarpackie,SK,electricity import AC,,EHV,,,2020,2020,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2021,PL podkarpackie,SK,electricity import AC,,EHV,,,2021,2021,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2022,PL podkarpackie,SK,electricity import AC,,EHV,,,2022,2022,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2023,PL podkarpackie,SK,electricity import AC,,EHV,,,2023,2023,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2025,PL podkarpackie,SK,electricity import AC,,EHV,,,2025,2025,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2030,PL podkarpackie,SK,electricity import AC,,EHV,,,2030,2030,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2035,PL podkarpackie,SK,electricity import AC,,EHV,,,2035,2035,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2040,PL podkarpackie,SK,electricity import AC,,EHV,,,2040,2040,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2045,PL podkarpackie,SK,electricity import AC,,EHV,,,2045,2045,TRUE,890,
PL podkarpackie SK electricity import AC EHV 2050,PL podkarpackie,SK,electricity import AC,,EHV,,,2050,2050,TRUE,890,
PL pomorskie SE electricity import DC EHV 2020,PL pomorskie,SE,electricity import DC,,EHV,,,2020,2020,TRUE,600,
PL pomorskie SE electricity import DC EHV 2021,PL pomorskie,SE,electricity import DC,,EHV,,,2021,2021,TRUE,600,
PL pomorskie SE electricity import DC EHV 2022,PL pomorskie,SE,electricity import DC,,EHV,,,2022,2022,TRUE,600,
PL pomorskie SE electricity import DC EHV 2023,PL pomorskie,SE,electricity import DC,,EHV,,,2023,2023,TRUE,600,
PL pomorskie SE electricity import DC EHV 2025,PL pomorskie,SE,electricity import DC,,EHV,,,2025,2025,TRUE,600,
PL pomorskie SE electricity import DC EHV 2030,PL pomorskie,SE,electricity import DC,,EHV,,,2030,2030,TRUE,600,
PL pomorskie SE electricity import DC EHV 2035,PL pomorskie,SE,electricity import DC,,EHV,,,2035,2035,TRUE,600,
PL pomorskie SE electricity import DC EHV 2040,PL pomorskie,SE,electricity import DC,,EHV,,,2040,2040,TRUE,600,
PL pomorskie SE electricity import DC EHV 2045,PL pomorskie,SE,electricity import DC,,EHV,,,2045,2045,TRUE,600,
PL pomorskie SE electricity import DC EHV 2050,PL pomorskie,SE,electricity import DC,,EHV,,,2050,2050,TRUE,600,
PL warmińsko-mazurskie LT electricity import AC EHV 2025,PL warmińsko-mazurskie,LT,electricity import AC,,EHV,,,2025,2025,TRUE,1000,
PL warmińsko-mazurskie LT electricity import AC EHV 2030,PL warmińsko-mazurskie,LT,electricity import AC,,EHV,,,2030,2030,TRUE,1000,
PL warmińsko-mazurskie LT electricity import AC EHV 2035,PL warmińsko-mazurskie,LT,electricity import AC,,EHV,,,2035,2035,TRUE,1700,
PL warmińsko-mazurskie LT electricity import AC EHV 2040,PL warmińsko-mazurskie,LT,electricity import AC,,EHV,,,2040,2040,TRUE,1700,
PL warmińsko-mazurskie LT electricity import AC EHV 2045,PL warmińsko-mazurskie,LT,electricity import AC,,EHV,,,2045,2045,TRUE,1700,
PL warmińsko-mazurskie LT electricity import AC EHV 2050,PL warmińsko-mazurskie,LT,electricity import AC,,EHV,,,2050,2050,TRUE,1700,
PL warmińsko-mazurskie LT electricity import DC EHV 2020,PL warmińsko-mazurskie,LT,electricity import DC,,EHV,,,2020,2020,TRUE,500,
PL warmińsko-mazurskie LT electricity import DC EHV 2021,PL warmińsko-mazurskie,LT,electricity import DC,,EHV,,,2021,2021,TRUE,500,
PL warmińsko-mazurskie LT electricity import DC EHV 2022,PL warmińsko-mazurskie,LT,electricity import DC,,EHV,,,2022,2022,TRUE,500,
PL warmińsko-mazurskie LT electricity import DC EHV 2023,PL warmińsko-mazurskie,LT,electricity import DC,,EHV,,,2023,2023,TRUE,500,
PL zachodniopomorskie DE electricity import AC EHV 2020,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2020,2020,TRUE,800,
PL zachodniopomorskie DE electricity import AC EHV 2021,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2021,2021,TRUE,800,
PL zachodniopomorskie DE electricity import AC EHV 2022,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2022,2022,TRUE,800,
PL zachodniopomorskie DE electricity import AC EHV 2023,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2023,2023,TRUE,800,
PL zachodniopomorskie DE electricity import AC EHV 2025,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2025,2025,TRUE,800,
PL zachodniopomorskie DE electricity import AC EHV 2030,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2030,2030,TRUE,1590,
PL zachodniopomorskie DE electricity import AC EHV 2035,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2035,2035,TRUE,1590,
PL zachodniopomorskie DE electricity import AC EHV 2040,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2040,2040,TRUE,1590,
PL zachodniopomorskie DE electricity import AC EHV 2045,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2045,2045,TRUE,1590,
PL zachodniopomorskie DE electricity import AC EHV 2050,PL zachodniopomorskie,DE,electricity import AC,,EHV,,,2050,2050,TRUE,1590,
PL śląskie CZ electricity import AC EHV 2020,PL śląskie,CZ,electricity import AC,,EHV,,,2020,2020,TRUE,1520,
PL śląskie CZ electricity import AC EHV 2021,PL śląskie,CZ,electricity import AC,,EHV,,,2021,2021,TRUE,1520,
