name,area,area_from,technology,qualifier,bus_qualifier,bus_from_qualifier,bus2_qualifier,build_year,retire_year,cumulative,nom,length
PL dolnośląskie ICE vehicle fuel supply 2040,PL dolnośląskie,,ICE vehicle fuel supply,,,,,2040,2040,TRUE,inf,
PL dolnośląskie ICE vehicle fuel supply 2045,PL dolnośląskie,,ICE vehicle fuel supply,,,,,2045,2045,TRUE,inf,
PL dolnośląskie ICE vehicle fuel supply 2050,PL dolnośląskie,,ICE vehicle fuel supply,,,,,2050,2050,TRUE,inf,
PL dolnośląskie battery large charger HMV 2025,PL dolnośląskie,,battery large charger,,HMV,HMV,,2025,,FALSE,17.3,
PL dolnośląskie battery large charger HMV 2030,PL dolnośląskie,,battery large charger,,HMV,HMV,,2030,,FALSE,7.0,
PL dolnośląskie battery large charger HMV 2035,PL dolnośląskie,,battery large charger,,HMV,HMV,,2035,,FALSE,1.3,
PL dolnośląskie battery large charger HMV 2040,PL dolnośląskie,,battery large charger,,HMV,HMV,,2040,,FALSE,0.6,
PL dolnośląskie battery large charger HMV 2045,PL dolnośląskie,,battery large charger,,HMV,HMV,,2045,,FALSE,0.0,
PL dolnośląskie battery large charger HMV 2050,PL dolnośląskie,,battery large charger,,HMV,HMV,,2050,,FALSE,0.0,
PL dolnośląskie battery large charger HMV vRES 2030,PL dolnośląskie,,battery large charger,,HMV vRES,HMV vRES,,2030,,FALSE,289.1,
PL dolnośląskie battery large charger HMV vRES 2035,PL dolnośląskie,,battery large charger,,HMV vRES,HMV vRES,,2035,,FALSE,1.3,
PL dolnośląskie battery large charger HMV vRES 2040,PL dolnośląskie,,battery large charger,,HMV vRES,HMV vRES,,2040,,FALSE,0.6,
PL dolnośląskie battery large charger HMV vRES 2045,PL dolnośląskie,,battery large charger,,HMV vRES,HMV vRES,,2045,,FALSE,0.0,
PL dolnośląskie battery large charger HMV vRES 2050,PL dolnośląskie,,battery large charger,,HMV vRES,HMV vRES,,2050,,FALSE,0.0,
PL dolnośląskie battery large power HMV 2025,PL dolnośląskie,,battery large power,,HMV,HMV,,2025,,FALSE,18.8,
PL dolnośląskie battery large power HMV 2030,PL dolnośląskie,,battery large power,,HMV,HMV,,2030,,FALSE,7.7,
PL dolnośląskie battery large power HMV 2035,PL dolnośląskie,,battery large power,,HMV,HMV,,2035,,FALSE,1.4,
PL dolnośląskie battery large power HMV 2040,PL dolnośląskie,,battery large power,,HMV,HMV,,2040,,FALSE,0.7,
PL dolnośląskie battery large power HMV 2045,PL dolnośląskie,,battery large power,,HMV,HMV,,2045,,FALSE,0.0,
PL dolnośląskie battery large power HMV 2050,PL dolnośląskie,,battery large power,,HMV,HMV,,2050,,FALSE,0.0,
PL dolnośląskie battery large power HMV vRES 2030,PL dolnośląskie,,battery large power,,HMV vRES,HMV vRES,,2030,,FALSE,321.2,
PL dolnośląskie battery large power HMV vRES 2035,PL dolnośląskie,,battery large power,,HMV vRES,HMV vRES,,2035,,FALSE,1.5,
PL dolnośląskie battery large power HMV vRES 2040,PL dolnośląskie,,battery large power,,HMV vRES,HMV vRES,,2040,,FALSE,0.7,
PL dolnośląskie battery large power HMV vRES 2045,PL dolnośląskie,,battery large power,,HMV vRES,HMV vRES,,2045,,FALSE,0.0,
PL dolnośląskie battery large power HMV vRES 2050,PL dolnośląskie,,battery large power,,HMV vRES,HMV vRES,,2050,,FALSE,0.0,
