hour,DE,LT,PL,PL pomorskie,PL zachodniopomorskie,SE
2013-01-05 00:00:00,0.893,0.943,0.7,0.7,0.541,0.563
2013-01-05 01:00:00,0.858,0.95,0.81,0.81,0.559,0.605
2013-01-05 02:00:00,0.84,0.95,0.792,0.792,0.546,0.621
2013-01-05 03:00:00,0.814,0.95,0.773,0.773,0.505,0.585
2013-01-05 04:00:00,0.783,0.95,0.831,0.831,0.517,0.566
2013-01-05 05:00:00,0.712,0.95,0.809,0.809,0.424,0.546
2013-01-05 06:00:00,0.604,0.95,0.754,0.754,0.46,0.511
2013-01-05 07:00:00,0.463,0.95,0.701,0.701,0.473,0.469
2013-01-05 08:00:00,0.355,0.95,0.663,0.663,0.446,0.408
2013-01-05 09:00:00,0.298,0.95,0.594,0.594,0.354,0.351
2013-01-05 10:00:00,0.248,0.95,0.461,0.461,0.23,0.285
2013-01-05 11:00:00,0.229,0.931,0.362,0.362,0.136,0.215
2013-01-05 12:00:00,0.223,0.864,0.284,0.284,0.061,0.148
2013-01-05 13:00:00,0.212,0.805,0.26,0.26,0.04,0.119
2013-01-05 14:00:00,0.199,0.744,0.225,0.225,0.03,0.112
2013-01-05 15:00:00,0.196,0.706,0.209,0.209,0.019,0.105
2013-01-05 16:00:00,0.197,0.716,0.206,0.206,0.013,0.101
2013-01-05 17:00:00,0.18,0.696,0.181,0.181,0.01,0.099
2013-01-05 18:00:00,0.13,0.56,0.135,0.135,0.008,0.079
2013-01-05 19:00:00,0.093,0.378,0.082,0.082,0.005,0.05
2013-01-05 20:00:00,0.139,0.252,0.056,0.056,0.007,0.028
2013-01-05 21:00:00,0.26,0.164,0.038,0.038,0.011,0.022
2013-01-05 22:00:00,0.396,0.136,0.017,0.017,0.009,0.017
2013-01-05 23:00:00,0.298,0.113,0.041,0.041,0.011,0.014
2013-01-06 00:00:00,0.333,0.114,0.068,0.068,0.017,0.035
2013-01-06 01:00:00,0.393,0.146,0.079,0.079,0.049,0.053
2013-01-06 02:00:00,0.546,0.167,0.108,0.108,0.103,0.073
2013-01-06 03:00:00,0.676,0.166,0.126,0.126,0.151,0.093
2013-01-06 04:00:00,0.638,0.169,0.142,0.142,0.137,0.091
2013-01-06 05:00:00,0.686,0.158,0.166,0.166,0.091,0.093
2013-01-06 06:00:00,0.746,0.136,0.146,0.146,0.13,0.091
2013-01-06 07:00:00,0.757,0.112,0.091,0.091,0.184,0.065
2013-01-06 08:00:00,0.764,0.097,0.054,0.054,0.272,0.058
2013-01-06 09:00:00,0.81,0.109,0.042,0.042,0.479,0.042
2013-01-06 10:00:00,0.837,0.134,0.02,0.02,0.382,0.038
2013-01-06 11:00:00,0.851,0.121,0.024,0.024,0.344,0.031
2013-01-06 12:00:00,0.836,0.133,0.053,0.053,0.282,0.049
2013-01-06 13:00:00,0.808,0.194,0.101,0.101,0.231,0.085
2013-01-06 14:00:00,0.755,0.33,0.162,0.162,0.172,0.125
2013-01-06 15:00:00,0.69,0.393,0.235,0.235,0.12,0.143
2013-01-06 16:00:00,0.647,0.417,0.281,0.281,0.144,0.15
2013-01-06 17:00:00,0.626,0.457,0.295,0.295,0.145,0.157
2013-01-06 18:00:00,0.619,0.484,0.264,0.264,0.189,0.156
2013-01-06 19:00:00,0.556,0.44,0.23,0.23,0.3,0.146
2013-01-06 20:00:00,0.377,0.345,0.229,0.229,0.335,0.158
2013-01-06 21:00:00,0.212,0.269,0.223,0.223,0.261,0.157
2013-01-06 22:00:00,0.113,0.216,0.211,0.211,0.2,0.155
2013-01-06 23:00:00,0.087,0.201,0.179,0.179,0.141,0.148
2013-01-07 00:00:00,0.058,0.163,0.139,0.139,0.082,0.144
2013-01-07 01:00:00,0.049,0.124,0.103,0.103,0.06,0.129
2013-01-07 02:00:00,0.027,0.083,0.066,0.066,0.05,0.105
2013-01-07 03:00:00,0.021,0.042,0.043,0.043,0.039,0.101
2013-01-07 04:00:00,0.033,0.032,0.037,0.037,0.018,0.109
2013-01-07 05:00:00,0.041,0.03,0.027,0.027,0.011,0.1
2013-01-07 06:00:00,0.07,0.021,0.018,0.018,0.01,0.078
2013-01-07 07:00:00,0.098,0.01,0.01,0.01,0.015,0.053
2013-01-07 08:00:00,0.089,0.006,0.006,0.006,0.017,0.042
2013-01-07 09:00:00,0.098,0.005,0.006,0.006,0.023,0.042
2013-01-07 10:00:00,0.108,0.001,0.005,0.005,0.04,0.045
2013-01-07 11:00:00,0.063,0.0,0.002,0.002,0.04,0.055
2013-01-07 12:00:00,0.101,0.0,0.001,0.001,0.043,0.068
2013-01-07 13:00:00,0.184,0.0,0.002,0.002,0.05,0.074
2013-01-07 14:00:00,0.222,0.0,0.003,0.003,0.051,0.07
2013-01-07 15:00:00,0.287,0.0,0.002,0.002,0.052,0.066
2013-01-07 16:00:00,0.309,0.0,0.005,0.005,0.093,0.08
2013-01-07 17:00:00,0.298,0.0,0.016,0.016,0.164,0.107
2013-01-07 18:00:00,0.349,0.0,0.04,0.04,0.201,0.138
2013-01-07 19:00:00,0.412,0.0,0.071,0.071,0.261,0.181
2013-01-07 20:00:00,0.466,0.0,0.118,0.118,0.369,0.23
2013-01-07 21:00:00,0.515,0.006,0.14,0.14,0.405,0.259
2013-01-07 22:00:00,0.493,0.023,0.178,0.178,0.429,0.302
2013-01-07 23:00:00,0.494,0.068,0.21,0.21,0.483,0.371
2013-01-08 00:00:00,0.532,0.119,0.239,0.239,0.54,0.433
2013-01-08 01:00:00,0.595,0.132,0.272,0.272,0.561,0.458
2013-01-08 02:00:00,0.592,0.151,0.263,0.263,0.524,0.49
2013-01-08 03:00:00,0.569,0.213,0.282,0.282,0.539,0.512
2013-01-08 04:00:00,0.502,0.289,0.355,0.355,0.551,0.53
2013-01-08 05:00:00,0.421,0.339,0.381,0.381,0.561,0.51
2013-01-08 06:00:00,0.366,0.462,0.372,0.372,0.589,0.463
2013-01-08 07:00:00,0.299,0.616,0.44,0.44,0.601,0.42
2013-01-08 08:00:00,0.252,0.684,0.539,0.539,0.566,0.42
2013-01-08 09:00:00,0.2,0.727,0.523,0.523,0.505,0.397
2013-01-08 10:00:00,0.154,0.782,0.383,0.383,0.405,0.336
2013-01-08 11:00:00,0.085,0.731,0.336,0.336,0.447,0.269
2013-01-08 12:00:00,0.063,0.667,0.292,0.292,0.34,0.225
2013-01-08 13:00:00,0.063,0.602,0.254,0.254,0.192,0.238
2013-01-08 14:00:00,0.07,0.638,0.225,0.225,0.123,0.249
2013-01-08 15:00:00,0.059,0.699,0.203,0.203,0.132,0.223
2013-01-08 16:00:00,0.043,0.636,0.155,0.155,0.206,0.18
2013-01-08 17:00:00,0.053,0.474,0.095,0.095,0.306,0.131
2013-01-08 18:00:00,0.078,0.354,0.051,0.051,0.318,0.114
2013-01-08 19:00:00,0.062,0.228,0.033,0.033,0.278,0.136
2013-01-08 20:00:00,0.055,0.152,0.028,0.028,0.195,0.149
2013-01-08 21:00:00,0.073,0.1,0.028,0.028,0.143,0.117
2013-01-08 22:00:00,0.112,0.06,0.019,0.019,0.046,0.084
2013-01-08 23:00:00,0.112,0.051,0.024,0.024,0.023,0.055
2013-01-09 00:00:00,0.119,0.023,0.019,0.019,0.012,0.064
2013-01-09 01:00:00,0.11,0.002,0.019,0.019,0.004,0.087
2013-01-09 02:00:00,0.111,0.0,0.012,0.012,0.001,0.085
2013-01-09 03:00:00,0.124,0.01,0.005,0.005,0.002,0.098
2013-01-09 04:00:00,0.121,0.017,0.006,0.006,0.005,0.126
2013-01-09 05:00:00,0.119,0.004,0.01,0.01,0.02,0.12
2013-01-09 06:00:00,0.143,0.008,0.012,0.012,0.048,0.115
2013-01-09 07:00:00,0.219,0.034,0.037,0.037,0.077,0.126
2013-01-09 08:00:00,0.298,0.043,0.086,0.086,0.168,0.154
2013-01-09 09:00:00,0.359,0.086,0.174,0.174,0.258,0.172
2013-01-09 10:00:00,0.431,0.239,0.281,0.281,0.354,0.232
2013-01-09 11:00:00,0.474,0.254,0.312,0.312,0.439,0.311
2013-01-09 12:00:00,0.486,0.41,0.337,0.337,0.674,0.328
2013-01-09 13:00:00,0.474,0.53,0.39,0.39,0.832,0.32
2013-01-09 14:00:00,0.498,0.502,0.464,0.464,0.914,0.326
2013-01-09 15:00:00,0.521,0.466,0.634,0.634,0.935,0.369
2013-01-09 16:00:00,0.497,0.506,0.824,0.824,0.945,0.447
2013-01-09 17:00:00,0.469,0.551,0.913,0.913,0.935,0.519
2013-01-09 18:00:00,0.474,0.696,0.936,0.936,0.899,0.583
2013-01-09 19:00:00,0.527,0.703,0.886,0.886,0.866,0.649
2013-01-09 20:00:00,0.571,0.709,0.819,0.819,0.852,0.678
2013-01-09 21:00:00,0.616,0.743,0.859,0.859,0.804,0.637
2013-01-09 22:00:00,0.637,0.776,0.719,0.719,0.83,0.549
2013-01-09 23:00:00,0.65,0.679,0.7,0.7,0.981,0.431
2013-01-10 00:00:00,0.57,0.662,0.533,0.533,0.997,0.394
2013-01-10 01:00:00,0.547,0.521,0.427,0.427,0.994,0.372
2013-01-10 02:00:00,0.525,0.337,0.229,0.229,0.996,0.389
2013-01-10 03:00:00,0.512,0.161,0.186,0.186,0.996,0.515
2013-01-10 04:00:00,0.386,0.045,0.228,0.228,0.984,0.755
2013-01-10 05:00:00,0.31,0.0,0.513,0.513,0.843,0.858
2013-01-10 06:00:00,0.318,0.054,0.937,0.937,0.834,0.869
2013-01-10 07:00:00,0.415,0.288,0.998,0.998,0.953,0.9
2013-01-10 08:00:00,0.519,0.55,1.0,1.0,0.998,0.897
2013-01-10 09:00:00,0.578,0.743,1.0,1.0,0.994,0.889
2013-01-10 10:00:00,0.608,0.883,1.0,1.0,0.979,0.881
2013-01-10 11:00:00,0.72,0.948,0.999,0.999,0.987,0.866
2013-01-10 12:00:00,0.679,0.95,0.997,0.997,0.977,0.892
2013-01-10 13:00:00,0.612,0.95,0.991,0.991,0.972,0.881
2013-01-10 14:00:00,0.573,0.95,0.979,0.979,0.967,0.851
2013-01-10 15:00:00,0.547,0.95,0.954,0.954,0.967,0.841
