hour,DE,LT,PL,PL pomorskie,PL zachodniopomorskie,SE
2015-02-26 00:00:00,0.044,0.01,0.002,0.002,0.001,0.241
2015-02-26 01:00:00,0.057,0.039,0.001,0.001,0.003,0.23
2015-02-26 02:00:00,0.085,0.023,0.001,0.001,0.008,0.23
2015-02-26 03:00:00,0.117,0.001,0.001,0.001,0.015,0.231
2015-02-26 04:00:00,0.216,0.0,0.001,0.001,0.023,0.237
2015-02-26 05:00:00,0.388,0.0,0.001,0.001,0.038,0.247
2015-02-26 06:00:00,0.582,0.0,0.001,0.001,0.066,0.26
2015-02-26 07:00:00,0.708,0.0,0.003,0.003,0.077,0.272
2015-02-26 08:00:00,0.796,0.0,0.005,0.005,0.095,0.296
2015-02-26 09:00:00,0.858,0.0,0.006,0.006,0.099,0.314
2015-02-26 10:00:00,0.89,0.0,0.012,0.012,0.083,0.326
2015-02-26 11:00:00,0.892,0.0,0.024,0.024,0.058,0.332
2015-02-26 12:00:00,0.897,0.0,0.029,0.029,0.038,0.341
2015-02-26 13:00:00,0.898,0.0,0.044,0.044,0.028,0.359
2015-02-26 14:00:00,0.9,0.0,0.062,0.062,0.04,0.375
2015-02-26 15:00:00,0.908,0.0,0.072,0.072,0.06,0.377
2015-02-26 16:00:00,0.92,0.0,0.125,0.125,0.144,0.404
2015-02-26 17:00:00,0.929,0.003,0.225,0.225,0.318,0.443
2015-02-26 18:00:00,0.938,0.028,0.349,0.349,0.509,0.512
2015-02-26 19:00:00,0.927,0.046,0.455,0.455,0.636,0.609
2015-02-26 20:00:00,0.783,0.059,0.541,0.541,0.74,0.678
2015-02-26 21:00:00,0.616,0.088,0.614,0.614,0.813,0.715
2015-02-26 22:00:00,0.514,0.145,0.599,0.599,0.867,0.764
2015-02-26 23:00:00,0.543,0.164,0.532,0.532,0.836,0.798
2015-02-27 00:00:00,0.559,0.178,0.436,0.436,0.749,0.806
2015-02-27 01:00:00,0.582,0.188,0.35,0.35,0.664,0.773
2015-02-27 02:00:00,0.543,0.183,0.301,0.301,0.597,0.731
2015-02-27 03:00:00,0.471,0.187,0.31,0.31,0.507,0.69
2015-02-27 04:00:00,0.44,0.205,0.348,0.348,0.44,0.65
2015-02-27 05:00:00,0.452,0.197,0.363,0.363,0.445,0.612
2015-02-27 06:00:00,0.449,0.211,0.364,0.364,0.487,0.607
2015-02-27 07:00:00,0.43,0.269,0.348,0.348,0.539,0.61
2015-02-27 08:00:00,0.391,0.328,0.313,0.313,0.522,0.609
2015-02-27 09:00:00,0.348,0.397,0.247,0.247,0.457,0.588
2015-02-27 10:00:00,0.301,0.356,0.209,0.209,0.412,0.547
2015-02-27 11:00:00,0.304,0.272,0.194,0.194,0.31,0.53
2015-02-27 12:00:00,0.317,0.191,0.119,0.119,0.204,0.488
2015-02-27 13:00:00,0.316,0.124,0.072,0.072,0.134,0.433
2015-02-27 14:00:00,0.28,0.081,0.06,0.06,0.091,0.368
2015-02-27 15:00:00,0.25,0.054,0.07,0.07,0.068,0.309
2015-02-27 16:00:00,0.244,0.046,0.075,0.075,0.071,0.274
2015-02-27 17:00:00,0.22,0.05,0.07,0.07,0.112,0.258
2015-02-27 18:00:00,0.178,0.044,0.066,0.066,0.166,0.256
2015-02-27 19:00:00,0.181,0.034,0.057,0.057,0.199,0.262
2015-02-27 20:00:00,0.207,0.017,0.056,0.056,0.213,0.264
2015-02-27 21:00:00,0.196,0.005,0.062,0.062,0.237,0.266
2015-02-27 22:00:00,0.167,0.0,0.037,0.037,0.171,0.267
2015-02-27 23:00:00,0.205,0.0,0.033,0.033,0.139,0.228
2015-02-28 00:00:00,0.243,0.0,0.026,0.026,0.091,0.219
2015-02-28 01:00:00,0.323,0.0,0.02,0.02,0.045,0.213
2015-02-28 02:00:00,0.373,0.0,0.013,0.013,0.018,0.206
2015-02-28 03:00:00,0.377,0.0,0.01,0.01,0.014,0.194
2015-02-28 04:00:00,0.49,0.0,0.011,0.011,0.032,0.18
2015-02-28 05:00:00,0.584,0.0,0.016,0.016,0.082,0.169
2015-02-28 06:00:00,0.669,0.0,0.019,0.019,0.113,0.156
2015-02-28 07:00:00,0.764,0.0,0.024,0.024,0.153,0.156
2015-02-28 08:00:00,0.813,0.0,0.04,0.04,0.135,0.17
2015-02-28 09:00:00,0.836,0.0,0.069,0.069,0.118,0.2
2015-02-28 10:00:00,0.854,0.0,0.107,0.107,0.139,0.23
2015-02-28 11:00:00,0.879,0.0,0.137,0.137,0.35,0.254
2015-02-28 12:00:00,0.883,0.003,0.184,0.184,0.456,0.273
2015-02-28 13:00:00,0.884,0.031,0.277,0.277,0.439,0.292
2015-02-28 14:00:00,0.888,0.068,0.36,0.36,0.313,0.345
2015-02-28 15:00:00,0.89,0.1,0.397,0.397,0.201,0.407
2015-02-28 16:00:00,0.884,0.112,0.366,0.366,0.095,0.436
2015-02-28 17:00:00,0.882,0.122,0.284,0.284,0.091,0.439
2015-02-28 18:00:00,0.883,0.164,0.225,0.225,0.168,0.423
2015-02-28 19:00:00,0.891,0.222,0.206,0.206,0.323,0.449
2015-02-28 20:00:00,0.901,0.196,0.225,0.225,0.453,0.503
2015-02-28 21:00:00,0.909,0.167,0.258,0.258,0.565,0.583
